amfi_code,date,nav
119551,2022-01-03,54.3856
100016,2022-01-03,520.4608
119095,2022-01-03,52.5238
149324,2022-01-03,81.6814
101206,2022-01-03,305.0996
101207,2022-01-03,38.5736
119120,2022-01-03,42.1391
101208,2022-01-03,310.7415
119094,2022-01-03,68.3023
102885,2022-01-03,89.8728
102886,2022-01-03,119.2905
102887,2022-01-03,191.0721
148567,2022-01-03,70.2514
119598,2022-01-03,89.8738
148568,2022-01-03,84.0757
148569,2022-01-03,28.862
119552,2022-01-03,58.4174
119599,2022-01-03,96.4565
149322,2022-01-03,348.7159
119093,2022-01-03,41.814
119092,2022-01-03,38.7466
120504,2022-01-03,60.1474
120506,2022-01-03,202.0453
120507,2022-01-03,285.7447
118632,2022-01-03,42.8339
120503,2022-01-03,55.3983
118633,2022-01-03,47.1836
118634,2022-01-03,69.1076
125497,2022-01-03,560.1443
100025,2022-01-03,26.3169
118636,2022-01-03,30.1152
120841,2022-01-03,275.837
125498,2022-01-03,117.5969
120842,2022-01-03,62.1265
120843,2022-01-03,49.9131
100033,2022-01-03,107.3758
120844,2022-01-03,3180.6318
118635,2022-01-03,170.3428
149323,2022-01-03,78.4622
120505,2022-01-03,135.872
118633,2022-01-04,46.491
100016,2022-01-04,515.0971
120841,2022-01-04,276.8163
119095,2022-01-04,53.509
149324,2022-01-04,80.8239
101206,2022-01-04,305.4514
102887,2022-01-04,189.0737
118635,2022-01-04,168.6874
118632,2022-01-04,42.8033
148568,2022-01-04,85.4096
101207,2022-01-04,38.1545
119552,2022-01-04,57.348
102886,2022-01-04,120.6402
149323,2022-01-04,78.5
119599,2022-01-04,94.6512
119120,2022-01-04,42.2508
101208,2022-01-04,310.6977
120843,2022-01-04,50.8195
102885,2022-01-04,90.8724
118636,2022-01-04,30.2094
125498,2022-01-04,117.0077
120506,2022-01-04,202.1501
119551,2022-01-04,54.3474
120504,2022-01-04,59.4577
120842,2022-01-04,63.2031
149322,2022-01-04,345.7198
119598,2022-01-04,88.5495
120507,2022-01-04,285.882
120503,2022-01-04,55.6327
100025,2022-01-04,26.2234
119093,2022-01-04,41.8062
120844,2022-01-04,3181.4042
125497,2022-01-04,560.7052
100033,2022-01-04,105.9447
118634,2022-01-04,68.8538
120505,2022-01-04,133.1682
148569,2022-01-04,29.1038
119094,2022-01-04,68.0566
148567,2022-01-04,71.6085
119092,2022-01-04,38.4924
148568,2022-01-05,84.7554
119551,2022-01-05,54.6869
119092,2022-01-05,38.2033
119093,2022-01-05,41.6865
101207,2022-01-05,38.1775
119552,2022-01-05,57.0552
120506,2022-01-05,203.6057
118633,2022-01-05,45.9945
102886,2022-01-05,121.458
118632,2022-01-05,43.0564
119599,2022-01-05,94.5436
118636,2022-01-05,30.2116
120507,2022-01-05,286.0699
125498,2022-01-05,116.4011
119120,2022-01-05,42.4374
148567,2022-01-05,71.3264
101208,2022-01-05,310.8165
120843,2022-01-05,50.1942
118634,2022-01-05,69.0511
120504,2022-01-05,60.2855
118635,2022-01-05,166.3925
120503,2022-01-05,55.9527
149322,2022-01-05,343.4795
149323,2022-01-05,79.1806
100033,2022-01-05,105.48
125497,2022-01-05,563.0884
100016,2022-01-05,521.7239
120841,2022-01-05,276.3892
149324,2022-01-05,80.6143
102885,2022-01-05,90.1565
119095,2022-01-05,54.5737
120505,2022-01-05,137.2101
120844,2022-01-05,3182.8754
101206,2022-01-05,306.6324
102887,2022-01-05,188.0701
100025,2022-01-05,26.2221
119598,2022-01-05,88.0925
148569,2022-01-05,29.5489
120842,2022-01-05,64.1764
119094,2022-01-05,69.186
120842,2022-01-06,64.4521
120506,2022-01-06,202.2714
119093,2022-01-06,41.2775
118636,2022-01-06,30.218
120504,2022-01-06,60.5202
149322,2022-01-06,342.168
125497,2022-01-06,561.0675
102885,2022-01-06,91.5338
120843,2022-01-06,50.6213
101208,2022-01-06,310.7719
100033,2022-01-06,104.935
120503,2022-01-06,56.6067
149323,2022-01-06,78.0831
100016,2022-01-06,515.788
149324,2022-01-06,79.9386
119095,2022-01-06,54.5502
120844,2022-01-06,3184.945
101206,2022-01-06,305.98
100025,2022-01-06,26.1728
119094,2022-01-06,69.169
118635,2022-01-06,167.003
148569,2022-01-06,29.5744
148568,2022-01-06,84.3563
119552,2022-01-06,56.4224
118633,2022-01-06,46.0047
118634,2022-01-06,68.4476
120507,2022-01-06,286.1089
119092,2022-01-06,38.5825
119551,2022-01-06,55.455
119120,2022-01-06,42.5901
118632,2022-01-06,43.2088
119598,2022-01-06,88.5175
101207,2022-01-06,37.0665
120841,2022-01-06,278.9247
120505,2022-01-06,136.5355
125498,2022-01-06,116.0861
148567,2022-01-06,72.1746
119599,2022-01-06,93.7944
102887,2022-01-06,190.4545
102886,2022-01-06,125.2386
119092,2022-01-07,38.9425
119552,2022-01-07,57.275
120504,2022-01-07,60.6373
102885,2022-01-07,90.6762
100016,2022-01-07,515.1639
118634,2022-01-07,67.0371
120843,2022-01-07,49.9391
102886,2022-01-07,124.1321
120506,2022-01-07,203.3482
120503,2022-01-07,57.5741
120507,2022-01-07,286.2836
119599,2022-01-07,89.6438
119120,2022-01-07,42.4851
148569,2022-01-07,29.6091
101208,2022-01-07,310.8388
118633,2022-01-07,46.3033
100033,2022-01-07,104.3318
120844,2022-01-07,3185.5042
120505,2022-01-07,137.8537
149324,2022-01-07,80.8723
149323,2022-01-07,78.4202
120841,2022-01-07,281.1488
125498,2022-01-07,114.6164
119551,2022-01-07,55.3692
119093,2022-01-07,41.6166
119095,2022-01-07,56.3221
120842,2022-01-07,64.2674
101206,2022-01-07,304.048
102887,2022-01-07,187.3124
119598,2022-01-07,91.4235
118632,2022-01-07,42.9585
148567,2022-01-07,72.2118
148568,2022-01-07,84.9469
149322,2022-01-07,340.7757
101207,2022-01-07,37.9845
100025,2022-01-07,26.2261
118636,2022-01-07,30.224
118635,2022-01-07,167.491
119094,2022-01-07,67.8877
125497,2022-01-07,559.542
118633,2022-01-10,45.1271
100025,2022-01-10,26.4042
101208,2022-01-10,311.0533
118632,2022-01-10,43.2317
120505,2022-01-10,137.8884
125498,2022-01-10,112.3772
119551,2022-01-10,55.2835
120503,2022-01-10,57.6672
100033,2022-01-10,104.9867
149324,2022-01-10,80.982
119599,2022-01-10,92.6703
120507,2022-01-10,286.5579
149323,2022-01-10,78.7064
148568,2022-01-10,84.0017
102887,2022-01-10,185.1409
120843,2022-01-10,49.8101
100016,2022-01-10,510.7136
120841,2022-01-10,275.1141
101207,2022-01-10,38.032
102886,2022-01-10,124.0425
119095,2022-01-10,57.7946
119552,2022-01-10,57.8171
119120,2022-01-10,42.4701
101206,2022-01-10,307.5591
119598,2022-01-10,96.0964
118635,2022-01-10,165.2183
118636,2022-01-10,30.3317
148569,2022-01-10,29.8866
148567,2022-01-10,73.9618
120504,2022-01-10,61.5388
102885,2022-01-10,90.5672
119092,2022-01-10,38.5546
119093,2022-01-10,41.8532
120842,2022-01-10,64.2159
125497,2022-01-10,561.2523
118634,2022-01-10,65.4773
120844,2022-01-10,3188.2214
119094,2022-01-10,67.4208
149322,2022-01-10,341.3214
120506,2022-01-10,203.9908
120843,2022-01-11,49.8867
102886,2022-01-11,122.602
120504,2022-01-11,62.3051
149324,2022-01-11,80.7709
100016,2022-01-11,513.5542
118634,2022-01-11,63.9671
101207,2022-01-11,38.6191
149322,2022-01-11,340.0253
119095,2022-01-11,56.0654
120506,2022-01-11,203.9952
118636,2022-01-11,30.2558
119552,2022-01-11,57.497
102887,2022-01-11,184.3965
148567,2022-01-11,73.8165
148568,2022-01-11,83.8268
119093,2022-01-11,41.3848
101206,2022-01-11,309.4372
118632,2022-01-11,42.9173
125497,2022-01-11,555.8066
100025,2022-01-11,26.445
119598,2022-01-11,97.1038
119092,2022-01-11,38.3941
149323,2022-01-11,77.8616
125498,2022-01-11,113.8787
120841,2022-01-11,275.2495
120507,2022-01-11,286.6378
118635,2022-01-11,165.7909
120503,2022-01-11,58.2591
101208,2022-01-11,311.1286
148569,2022-01-11,29.8461
119120,2022-01-11,42.4453
120842,2022-01-11,64.93
118633,2022-01-11,45.6802
119599,2022-01-11,94.3553
119551,2022-01-11,56.0878
119094,2022-01-11,66.2037
120844,2022-01-11,3188.8591
102885,2022-01-11,91.5873
100033,2022-01-11,105.157
120505,2022-01-11,136.6615
118632,2022-01-12,42.931
119095,2022-01-12,55.2114
118635,2022-01-12,165.3337
101207,2022-01-12,38.5117
120842,2022-01-12,64.9455
119598,2022-01-12,96.9086
125497,2022-01-12,554.3405
102885,2022-01-12,92.0156
119552,2022-01-12,58.6808
101208,2022-01-12,311.1326
120505,2022-01-12,135.2528
120844,2022-01-12,3190.5146
148568,2022-01-12,84.6339
100025,2022-01-12,26.3202
118633,2022-01-12,45.7566
148567,2022-01-12,75.8357
101206,2022-01-12,313.2022
125498,2022-01-12,111.4694
100033,2022-01-12,104.8657
118636,2022-01-12,30.4001
119093,2022-01-12,41.3721
120507,2022-01-12,286.7826
102887,2022-01-12,182.7008
100016,2022-01-12,512.3195
148569,2022-01-12,30.0171
119551,2022-01-12,56.4978
118634,2022-01-12,64.7011
120503,2022-01-12,58.1086
149322,2022-01-12,336.6504
120843,2022-01-12,49.6721
149324,2022-01-12,80.7497
120841,2022-01-12,274.4348
119120,2022-01-12,42.5098
102886,2022-01-12,121.2644
120504,2022-01-12,62.6963
